                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.64937,                0.55114,                0.93126,                 0.9725,                0.94142,                0.97159,                0.87275,                0.55363,                0.52468,                0.86427,             0.00070042,             0.00070042,             0.00070042
                    105,                0.63607,                0.60844,                0.95595,                0.97044,                0.94657,                0.97037,                0.86555,                0.57255,                0.52141,                0.87306,             0.00069335,             0.00069335,             0.00069335
                    106,                0.67838,                 0.7063,                0.97016,                0.96774,                0.93541,                0.96977,                0.85802,                0.57499,                0.51464,                0.87586,             0.00068628,             0.00068628,             0.00068628
                    107,                0.67187,                0.62677,                0.95728,                0.97813,                0.93514,                0.97103,                0.84658,                0.56433,                0.50318,                0.86921,              0.0006792,              0.0006792,              0.0006792
                    108,                 0.6828,                0.60475,                0.98778,                0.98884,                0.94193,                0.97038,                0.85697,                0.57031,                0.49933,                0.86633,             0.00067213,             0.00067213,             0.00067213
                    109,                0.79943,                0.90697,                 1.0644,                0.99191,                0.93569,                0.97088,                0.86418,                0.58389,                0.49745,                0.87252,             0.00066506,             0.00066506,             0.00066506
                    110,                0.71028,                0.68488,                 1.0197,                0.98385,                 0.9486,                0.97069,                0.87835,                0.55352,                0.47306,                0.86732,             0.00065798,             0.00065798,             0.00065798
                    111,                0.56526,                0.52971,                0.91942,                0.98902,                0.94643,                0.97082,                0.88259,                   0.53,                0.46456,                0.86175,             0.00065091,             0.00065091,             0.00065091
                    112,                0.74322,                0.63142,                0.93908,                 0.9866,                0.94732,                0.97019,                0.88629,                0.52424,                0.46137,                0.85526,             0.00064384,             0.00064384,             0.00064384
                    113,                0.62636,                0.53178,                0.94749,                 0.9815,                0.95175,                0.97095,                0.88644,                  0.523,                0.44605,                0.85346,             0.00063676,             0.00063676,             0.00063676
                    114,                0.67304,                0.63941,                 1.0215,                0.98959,                0.94135,                0.96936,                0.88012,                0.53507,                0.43822,                0.85639,             0.00062969,             0.00062969,             0.00062969
                    115,                 0.7021,                0.87376,                   1.04,                0.98423,                0.93094,                0.96773,                0.88727,                0.52269,                0.44791,                0.85491,             0.00062262,             0.00062262,             0.00062262
                    116,                0.73291,                0.60462,                0.98087,                0.99005,                0.92769,                0.96946,                0.88714,                0.50224,                0.44339,                0.85116,             0.00061554,             0.00061554,             0.00061554
                    117,                0.61062,                0.53832,                0.93602,                 0.9874,                0.93234,                0.97255,                0.88615,                0.50409,                0.44609,                0.85231,             0.00060847,             0.00060847,             0.00060847
                    118,                0.66165,                0.56717,                0.92114,                0.99148,                0.93697,                0.97231,                0.87685,                0.52654,                0.44451,                0.85334,             0.00060139,             0.00060139,             0.00060139
                    119,                0.62825,                0.55741,                 0.9443,                0.98212,                0.94906,                0.97269,                0.87523,                0.51263,                0.44381,                0.85067,             0.00059432,             0.00059432,             0.00059432
                    120,                 0.5966,                 0.5187,                0.91135,                0.99165,                0.93961,                0.97311,                0.88336,                0.50429,                0.43592,                0.84742,             0.00058725,             0.00058725,             0.00058725
                    121,                0.64327,                0.57914,                0.94983,                0.97961,                0.95003,                 0.9744,                0.88553,                0.49518,                0.41543,                0.84533,             0.00058017,             0.00058017,             0.00058017
                    122,                0.72371,                0.59197,                0.94367,                0.98698,                0.95045,                0.97497,                0.88486,                0.49845,                 0.4275,                0.84691,              0.0005731,              0.0005731,              0.0005731
                    123,                0.62868,                0.62689,                0.95218,                 0.9872,                0.95354,                0.97373,                0.89657,                  0.483,                0.42686,                0.84417,             0.00056603,             0.00056603,             0.00056603
                    124,                0.58413,                0.51252,                0.93321,                0.99496,                 0.9487,                0.97503,                0.89639,                0.47754,                0.40536,                0.84153,             0.00055895,             0.00055895,             0.00055895
                    125,                0.67368,                0.57671,                0.95457,                0.98471,                 0.9547,                0.97581,                0.90281,                0.48283,                 0.3992,                0.84072,             0.00055188,             0.00055188,             0.00055188
                    126,                0.58987,                0.50346,                0.94273,                0.98123,                0.95628,                0.97606,                0.89808,                0.49276,                0.40031,                0.84035,             0.00054481,             0.00054481,             0.00054481
                    127,                0.57369,                0.48376,                0.90915,                0.98269,                0.95643,                0.97674,                0.89303,                0.48592,                0.40222,                0.83884,             0.00053773,             0.00053773,             0.00053773
                    128,                0.63211,                0.52305,                0.95473,                 0.9846,                0.95896,                0.97826,                0.89552,                0.48159,                0.40549,                0.83942,             0.00053066,             0.00053066,             0.00053066
                    129,                0.56061,                0.51201,                0.93031,                0.98268,                0.95819,                0.97797,                0.90032,                 0.4858,                0.40848,                0.84037,             0.00052359,             0.00052359,             0.00052359
                    130,                0.58348,                0.48789,                0.92165,                0.97348,                0.96071,                0.97727,                0.90447,                0.48086,                0.40754,                0.83762,             0.00051651,             0.00051651,             0.00051651
                    131,                0.61285,                0.51441,                0.92103,                0.97706,                0.96051,                0.97755,                0.90125,                0.48749,                0.41201,                0.84075,             0.00050944,             0.00050944,             0.00050944
                    132,                0.58064,                0.47695,                 0.9131,                0.98325,                0.95944,                0.97374,                0.90153,                  0.485,                0.40879,                0.84098,             0.00050236,             0.00050236,             0.00050236
                    133,                0.67743,                0.64493,                0.93625,                0.98065,                0.95844,                 0.9758,                0.90382,                0.47436,                0.40927,                0.83693,             0.00049529,             0.00049529,             0.00049529
                    134,                0.65195,                0.61561,                0.94934,                0.98585,                0.95819,                0.97711,                0.89608,                 0.4719,                0.41508,                0.83789,             0.00048822,             0.00048822,             0.00048822
                    135,                0.57608,                0.62192,                0.95674,                 0.9889,                 0.9549,                0.97665,                 0.8895,                0.47297,                0.40723,                0.83968,             0.00048114,             0.00048114,             0.00048114
                    136,                0.64471,                0.51137,                0.96013,                0.98533,                 0.9525,                0.97695,                 0.8927,                0.46415,                0.39326,                0.83622,             0.00047407,             0.00047407,             0.00047407
                    137,                0.68984,                0.64025,                 1.0555,                0.99112,                0.95347,                0.97685,                0.89831,                0.45514,                   0.39,                0.83373,               0.000467,               0.000467,               0.000467
                    138,                0.59308,                0.55292,                0.93998,                0.98388,                0.96047,                0.97647,                 0.8982,                0.45138,                0.38399,                 0.8321,             0.00045992,             0.00045992,             0.00045992
                    139,                0.61894,                0.53503,                 0.9345,                0.98294,                0.96051,                 0.9772,                 0.8989,                0.44799,                0.37863,                0.83202,             0.00045285,             0.00045285,             0.00045285
                    140,                0.55949,                0.48248,                0.90695,                0.97558,                0.96543,                0.97663,                0.89841,                0.45426,                0.37974,                0.83437,             0.00044578,             0.00044578,             0.00044578
                    141,                0.63486,                0.58012,                 1.0102,                0.98789,                 0.9551,                0.97597,                0.90651,                0.45598,                0.38381,                0.83559,              0.0004387,              0.0004387,              0.0004387
                    142,                 0.5824,                0.50083,                0.89493,                0.99194,                 0.9525,                0.97568,                0.90771,                0.45066,                0.39099,                 0.8345,             0.00043163,             0.00043163,             0.00043163
                    143,                0.65955,                0.53846,                0.94302,                0.98916,                0.95323,                0.97573,                0.90853,                0.44408,                0.39437,                0.83443,             0.00042456,             0.00042456,             0.00042456
                    144,                0.57297,                0.47199,                 0.9081,                0.98636,                0.95354,                0.97685,                0.91071,                0.44499,                0.39046,                0.83419,             0.00041748,             0.00041748,             0.00041748
                    145,                0.74556,                0.62766,                0.92091,                 0.9916,                0.95215,                 0.9781,                 0.9069,                0.43857,                0.39548,                0.83135,             0.00041041,             0.00041041,             0.00041041
                    146,                0.53006,                0.46984,                0.88731,                0.98935,                0.95024,                0.97746,                0.90586,                0.43804,                0.39776,                0.82984,             0.00040334,             0.00040334,             0.00040334
                    147,                0.63582,                0.55087,                0.91642,                0.99385,                 0.9489,                0.97826,                0.91099,                0.43269,                0.39038,                0.82734,             0.00039626,             0.00039626,             0.00039626
                    148,                0.61489,                0.52965,                0.94958,                0.99593,                0.94874,                 0.9779,                0.91108,                0.43646,                0.37837,                0.82692,             0.00038919,             0.00038919,             0.00038919
                    149,                 0.6835,                0.54015,                 1.0892,                0.99416,                0.94916,                0.97656,                0.91015,                0.43733,                0.37481,                0.82665,             0.00038211,             0.00038211,             0.00038211
                    150,                0.59542,                0.53281,                0.91824,                0.99566,                0.95217,                0.97776,                0.90851,                0.42716,                0.37372,                0.82332,             0.00037504,             0.00037504,             0.00037504
                    151,                0.55283,                0.45494,                0.90461,                0.99544,                0.95322,                0.97792,                0.91274,                0.42314,                0.36372,                0.82083,             0.00036797,             0.00036797,             0.00036797
                    152,                0.56684,                 0.4711,                0.93313,                0.98697,                0.95838,                0.97871,                0.91277,                0.42341,                0.36131,                0.82067,             0.00036089,             0.00036089,             0.00036089
                    153,                0.64399,                0.50347,                0.93242,                0.98575,                0.95676,                0.97899,                0.91292,                0.42293,                0.36151,                 0.8206,             0.00035382,             0.00035382,             0.00035382
                    154,                0.52614,                0.51208,                0.90831,                0.98287,                0.95746,                0.97894,                0.91378,                0.42602,                0.36172,                0.82164,             0.00034675,             0.00034675,             0.00034675
                    155,                 0.4993,                 0.4417,                0.89643,                0.98402,                0.95703,                0.97969,                0.91354,                0.41826,                0.36042,                 0.8219,             0.00033967,             0.00033967,             0.00033967
